theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,1)",0.4,0.02,51,0.0,0.13,0.06,0.06,0.02,0.73
"(1,1)",0.4,0.02,52,0.0,0.1,0.09,0.05,0.03,0.73
"(1,1)",0.4,0.02,53,0.0,0.1,0.08,0.06,0.03,0.73
"(1,1)",0.4,0.02,54,0.0,0.1,0.07,0.06,0.04,0.73
"(1,1)",0.4,0.02,55,0.0,0.1,0.06,0.07,0.04,0.73
"(1,1)",0.4,0.02,56,0.0,0.1,0.06,0.05,0.06,0.73
"(1,1)",0.4,0.02,57,0.0,0.1,0.06,0.05,0.03,0.76
"(1,1)",0.4,0.02,58,0.0,0.1,0.06,0.05,0.03,0.76
"(1,1)",0.4,0.02,59,0.0,0.1,0.06,0.05,0.03,0.76
"(1,1)",0.4,0.02,60,0.0,0.1,0.06,0.05,0.03,0.76
"(1,1)",0.4,0.02,61,0.0,0.1,0.06,0.04,0.04,0.76
"(1,1)",0.4,0.02,62,0.0,0.1,0.06,0.04,0.03,0.77
"(1,1)",0.4,0.02,63,0.0,0.1,0.06,0.04,0.03,0.77
"(1,1)",0.4,0.02,64,0.0,0.1,0.06,0.04,0.03,0.77
"(1,1)",0.4,0.02,65,0.0,0.09,0.07,0.04,0.02,0.78
"(1,1)",0.4,0.02,66,0.0,0.09,0.07,0.03,0.03,0.78
"(1,1)",0.4,0.02,67,0.0,0.08,0.08,0.03,0.03,0.78
"(1,1)",0.4,0.02,68,0.0,0.08,0.07,0.04,0.03,0.78
"(1,1)",0.4,0.02,69,0.0,0.08,0.07,0.03,0.04,0.78
"(1,1)",0.4,0.02,70,0.0,0.08,0.07,0.03,0.03,0.79
"(1,1)",0.5,0.02,1,0.77,0.23,0.0,0.0,0.0,0.0
"(1,1)",0.5,0.02,2,0.45,0.55,0.0,0.0,0.0,0.0
"(1,1)",0.5,0.02,3,0.24,0.74,0.02,0.0,0.0,0.0
"(1,1)",0.5,0.02,4,0.12,0.8,0.07,0.01,0.0,0.0
"(1,1)",0.5,0.02,5,0.09,0.58,0.32,0.01,0.0,0.0
"(1,1)",0.5,0.02,6,0.04,0.47,0.39,0.1,0.0,0.0
"(1,1)",0.5,0.02,7,0.02,0.42,0.36,0.18,0.02,0.0
"(1,1)",0.5,0.02,8,0.02,0.39,0.35,0.18,0.06,0.0
"(1,1)",0.5,0.02,9,0.01,0.34,0.35,0.22,0.08,0.0
"(1,1)",0.5,0.02,10,0.01,0.26,0.38,0.24,0.11,0.0
"(1,1)",0.5,0.02,11,0.01,0.25,0.33,0.26,0.13,0.02
"(1,1)",0.5,0.02,12,0.01,0.18,0.34,0.27,0.16,0.04
"(1,1)",0.5,0.02,13,0.01,0.17,0.28,0.31,0.17,0.06
"(1,1)",0.5,0.02,14,0.01,0.13,0.29,0.31,0.16,0.1
"(1,1)",0.5,0.02,15,0.01,0.11,0.31,0.29,0.15,0.13
"(1,1)",0.5,0.02,16,0.01,0.1,0.29,0.28,0.14,0.18
"(1,1)",0.5,0.02,17,0.01,0.08,0.27,0.29,0.12,0.23
"(1,1)",0.5,0.02,18,0.01,0.07,0.24,0.32,0.1,0.26
"(1,1)",0.5,0.02,19,0.01,0.07,0.22,0.29,0.13,0.28
"(1,1)",0.5,0.02,20,0.01,0.07,0.18,0.28,0.16,0.3
"(1,1)",0.5,0.02,21,0.01,0.07,0.17,0.22,0.19,0.34
"(1,1)",0.5,0.02,22,0.01,0.07,0.17,0.2,0.17,0.38
"(1,1)",0.5,0.02,23,0.01,0.07,0.16,0.18,0.16,0.42
"(1,1)",0.5,0.02,24,0.01,0.07,0.14,0.17,0.13,0.48
"(1,1)",0.5,0.02,25,0.01,0.07,0.13,0.18,0.1,0.51
